,2,3,4,5
0,"[9.352070506580677, 7.8016848519065505]","[10.601290120392049, 5.787274660190411]","[9.12570917931982, 8.046033795619906]","[8.880567144597618, 7.600531685006258]"
1,"[13.190911526222525, 10.149771056099375]","[14.389166179013946, 8.861896940007933]","[12.239663178803053, 11.442916119074042]","[12.441626628201961, 10.467766985593228]"
2,"[8.294956427858201, 6.8139631877018125]","[9.907150617646241, 5.197314531602262]","[7.433170060153291, 6.961646948936567]","[7.4848591716403545, 6.519890511074332]"
3,"[9.022648071368579, 7.448376357164757]","[10.838592127035023, 5.268734428994096]","[8.970972732991761, 8.132912004328784]","[8.84685790277552, 7.6040783100151375]"
