,1,2,3,4,5
0,"[7.565889068880526, 5.2792534487931695]","[8.146409716762163, 7.262251007031393]","[9.939522352576962, 6.019791830426845]","[9.067882821910255, 7.997738655628842]","[21.8063082498394, 18.7566735912531]"
1,"[9.54880672386285, 6.108445158534816]","[10.182842850836813, 8.809737986865446]","[10.853719030140978, 8.688426811733331]","[10.508312320454722, 9.367874028127252]","[23.95881282684422, 21.147186676530442]"
2,"[6.910036541505773, 5.723975629495365]","[6.471839689621255, 5.389396752800172]","[6.891198990284532, 5.1646406099140405]","[6.373064861833393, 5.676243861215816]","[14.277494086484241, 12.584889376927665]"
3,"[6.341253596919776, 4.167594318376906]","[6.939917642174989, 5.967489908665995]","[8.11170205993907, 5.231116867306659]","[7.1471674771886615, 6.609951831151621]","[12.828425912147079, 11.35045761739816]"
