,2,3,4,5
0,"[11.083261740841666, 9.455931332795915]","[12.804817928162853, 9.429202846214123]","[14.639900638411461, 6.97657509181228]","[22.302804747026503, 19.9558456894262]"
1,"[10.756542328553202, 8.90334880630536]","[13.426196372811336, 7.219862605259954]","[12.508466348933197, 8.157429778075517]","[31.872644256258248, 28.520124529655746]"
2,"[11.188777369223677, 8.249094725046573]","[12.230084079639292, 7.605394862936491]","[10.633931131888163, 9.638298732537146]","[36.049491837563814, 32.25207820916628]"
3,"[8.443758463177321, 5.517095898529442]","[10.547735498392553, 3.7971664786844954]","[10.307707622650781, 4.238371760546245]","[26.347751900079214, 13.541785280465728]"
