,1,2,3,5
0,"[8.858328444852974, 7.3837533768373245]","[8.136040333475037, 7.237219373521973]","[8.892031648395498, 7.405944248334358]","[7.384075531547315, 6.447852843007797]"
1,"[7.928959398104586, 6.826487489747131]","[7.539578636034531, 6.719604920712318]","[8.141678191969817, 6.8094653884324465]","[7.300587236735559, 6.4765666594756155]"
2,"[10.501622914558139, 8.772122613445172]","[9.599106080844686, 8.152734809474419]","[10.877465434150519, 8.025019915445878]","[7.729826966035905, 6.734520440504015]"
3,"[4.299577717011823, 3.9683409201980213]","[4.73942262694387, 4.0836563337062675]","[5.736915134586761, 3.3661901426529206]","[4.500711785136929, 3.8300246893295]"
