,1,2,3,5
0,"[6.5194060271795236, 5.0994166305671]","[5.647702576433261, 5.085539461822423]","[142.0081209153403, 80.42596920139204]","[5.298929024481545, 4.624991124517136]"
1,"[15.576598046455157, 12.413808442828543]","[13.021852886859996, 11.41006413828254]","[10.947535842862628, 9.864682530724043]","[9.583784268801017, 8.126583609391512]"
2,"[10.324094705162805, 7.99814156051301]","[8.233197568155058, 7.458516882061325]","[7.361296113540409, 6.6904361982162515]","[8.505838018029449, 7.526946098424761]"
3,"[8.574361138412112, 6.094839933433784]","[7.790462442706232, 6.564363046031291]","[11.23101868230512, 4.978059106366694]","[6.6530253166243885, 5.667801886516525]"
