,2,3,4,5
0,"[21.380426955632615, -3.6516390420914604]","[11.25370063760295, 5.950966427150018]","[9.587014134216881, 8.942948820096584]","[33.33261532943413, 29.555897265552858]"
1,"[15.62998056033562, 12.17116013923073]","[15.104036016590221, 13.026051156082808]","[14.749351300205987, 13.677197285592733]","[36.33281957358573, 31.371375614519472]"
2,"[7.334085840592116, 6.12998279582409]","[7.440247583521943, 6.2516745976352315]","[6.989404290275105, 6.50010199934908]","[17.71883497439389, 15.42902255422322]"
3,"[9.922868273273675, 6.668011198000535]","[10.155455202095197, 8.388552940379611]","[9.126984586052094, 8.336621778837904]","[24.316631664776892, 21.305352678264505]"
