,2,3,4,5
0,"[4.039899528410418, 1.2432204214542966]","[5.457162952856681, 2.301768015345952]","[5.561918304042138, 2.4025915646886333]","[12.71940820800633, 7.110571953208089]"
1,"[8.689999827001767, 7.536735961591352]","[9.470345704658385, 7.450041920313662]","[8.676922893680477, 7.938935386109509]","[16.42020966704744, 14.480615974380488]"
2,"[8.446149005368, 6.681775524322241]","[9.74690244571609, 7.410373037055613]","[8.204298849728831, 7.22066061245993]","[14.826866969228846, 13.214237223199579]"
3,"[9.292450752349957, 6.246485527160264]","[10.120520226477627, 5.964256735622513]","[8.113104665982222, 7.105795188495155]","[22.22171164689152, 18.685601529686487]"
